"conversation_id","xsim_h2a","human_res","human_nov","ai_nov","creativity_originality","creativity_surprisingness","coherence_element_consistency","coherence_logical_progression","creativity","coherence"
"conv_68f8cb66e7d0819089538cdf28e940fb0be0c7c5bc28f178",0.673514966318204,-1.44950550310304,-2.10167734916326,-2.37151468883195,1.5,5,4.5,5,3.25,4.75
"conv_6910e16399d48194987708b3589ca9eb0edd24df36992831",0.648355607651596,-0.728334559016702,-1.7109227883927,-2.62667584056756,5,3,2.5,4,4,3.25
"conv_69120b0be9a881908567c1dfa912a6d90a309a13d5ea8eef",0.666165655556244,-0.940475984115563,-1.69854208134303,-2.44773010802425,2.5,4,3.5,4,3.25,3.75
"conv_691249fd97308197b06e97ca5d649f45080645ae33d1bf00",0.655532297455061,-0.319292476918299,-1.54833097972991,-2.79647980795966,3.5,3,2,3,3.25,2.5
"conv_6912d3d2074c8197adc6c9e56408225c0a4f5cb536497774",0.672235562568412,-0.947729115809249,-2.10292030132477,-2.82839097788016,3.5,4,3,4,3.75,3.5
"conv_69160b265818819398e86c4bd8abc0080d0aba9e942fed0d",0.636284377784076,-1.34619732535021,-2.45328610055425,-2.71547227794332,3,2,2.5,3,2.5,2.75
"conv_6917421066d8819592863132f4a141a00078d2d8d630f704",0.730590428231617,-1.05138783241015,-1.92272996891544,-2.46353450180703,2.5,3.5,3,3.5,3,3.25
"conv_691b61ab394c819483ac4af28c7f29d00b3e16b70554a02a",0.702264902041156,-1.00897996869228,-2.15642628952103,-2.95828716961943,5,4.5,5,4.5,4.75,4.75
"conv_691b6cdacf7881969d8f99f8456a61890249fb5f6bbd90ca",0.655503516161432,-0.663770030129749,-1.71339028409215,-2.60828285972994,3,5,5,4,4,4.5
"conv_691b7e95a50c8195930023ad653f234c0f03c18c9e706226",0.718340406123944,-1.66208204911472,-2.59241472669564,-2.64336349006183,3.5,4.5,4.5,4,4,4.25
"conv_691b8b725ae48193abaaaa9270b26d500f7b1fcbf105c42b",0.678968262174952,-0.762205372555082,-2.09907260517177,-2.80791344439448,1.5,5,4,5,3.25,4.5
"conv_691baa2b46788193b872ed7306db511f03e0f1b6d7bfd4c7",0.744308348175507,-1.08221735158855,-2.23880816844079,-2.63312173894975,2,4.5,4.5,3.5,3.25,4
"conv_691c84edfb24819590a3e29782cdd10d03ba8eb739f774a6",0.623894383630444,-0.636936685439059,-1.70155610688277,-2.71091779785204,5,4,4,4,4.5,4
"conv_691dc7c061d8819797504b613ba6691208409e48769ea891",0.688164760356234,-0.615893260016636,-1.42573814502383,-2.45049793056494,2,3,4,3,2.5,3.5
"conv_691dc83ec728819085d614247e77833604d03bd64a490dfd",0.690331239204527,-1.50905536554407,-2.41637366387705,-3.30896940411357,4,3.5,1.5,3.5,3.75,2.5
"conv_691e9e26b7688197a86e51a9d9a7dfe1052dd4511749a606",0.61440007055938,-0.82671835578134,-1.6451738083068,-2.7739907675954,2,3.5,4,4,2.75,4
"conv_691f065bc31481969cdbdc53f0ca1d3b03f44f568e358927",0.697448356582303,-0.832360557904945,-1.56944574088677,-2.36517653844935,3,3,2.5,4,3,3.25
"conv_691f06855a5c819598fe92033194bb530743467f5002fa62",0.71177875906413,-1.23625233737697,-2.17505546222549,-2.56752573346296,3.5,5,4.5,4.5,4.25,4.5
"conv_691f696d0b348190810494e2c5d82fee08324043d78ba0f7",0.673040466735906,-1.05569521653247,-2.37095226183513,-3.155984155701,4,2.5,2,3.5,3.25,2.75
"conv_6981ccf5d5f4819394bcd7bad4d79b14001ace58e9b20b81",0.672042972172403,-1.34715803964113,-2.68384655919568,-3.30782383052098,4,5,5,5,4.5,5
"conv_69a0753fc5d08196aa37099ec6c65b69083687b3e71b94b5",0.702876841017596,-0.789295581508813,-1.53091809536545,-2.29221079583635,3,3,1.5,3.5,3,2.5
"conv_69b581c4f16c81978ea543ce298c8c600546e04309837be3",0.704449988949604,-0.499927462897761,-2.00650148333425,-3.0647748981242,4.5,2,3,3,3.25,3
"conv_6be7ed36-4c3e-4746-920a-dac8f9012262",0.611540203573964,-0.491340729231455,-1.75504064945167,-2.95242206209067,2.5,3.5,3.5,4,3,3.75
"conv_6c680e8e-2455-4bdf-b4cd-fe6c409f373a",0.680726433268225,-0.50606830041538,-1.64411165958764,-2.31492951705005,3.5,4.5,4,4.5,4,4.25
"conv_72037685-9437-4960-b9a0-5f77d2a71e41",0.702171391162354,-0.632189441316902,-1.55833308564902,-2.45730877594263,2.5,4.5,3.5,3.5,3.5,3.5
"conv_73564d95-9f66-42db-a2c0-fed78090bac2",0.667702863580932,-0.376787594991567,-1.78738149491152,-3.11957507886726,3.5,4,5,4.5,3.75,4.75
"conv_7511f98b-bb77-4bdc-926f-c26121dc147b",0.699457547893981,-0.346520217969382,-1.70055565494575,-2.75669974677791,3,4.5,4,5,3.75,4.5
"conv_7e08bac1-7465-447d-a732-40dad23fa383",0.686077837736242,-0.798078324830667,-1.79750183532003,-2.6628205207418,2,4,3.5,3.5,3,3.5
"conv_829c6d96-30f0-495e-9684-ca934b06e90a",0.725458897947334,-0.312891972109544,-1.6753818446432,-3.17517274623949,3.5,4,3.5,3.5,3.75,3.5
"conv_82f7be76-f1f7-447b-b77d-2fa8134ebfed",0.718164149167543,-0.76710884747756,-1.8175076638069,-2.9210070790894,2,4,4,5,3,4.5
"conv_837faa43-c6e5-4221-9368-e8076f56d5fb",0.717152885238627,-1.40259327057869,-2.4065895454251,-3.3027316930609,2.5,5,5,5,3.75,5
"conv_8ab6fccf-2cc1-40bb-8378-5b469fb220eb",0.673421657716652,-1.19930216142388,-2.16131761038364,-2.77208186084078,4.5,4.5,4,4.5,4.5,4.25
"conv_8fd2ac26-a13c-4e85-b8ac-5f13e246b640",0.679590986776769,-1.41385602733239,-2.269935838685,-2.29586924765144,3.5,3,4,4,3.25,4
"conv_90178cb2-77d1-4123-9509-2ec42e4db932",0.697033440794031,-1.79842776697115,-2.11025314158751,-1.5316112143431,3.5,3.5,3.5,4,3.5,3.75
"conv_90ea40da-2853-405a-9c2f-a22e77888401",0.66042403638885,-0.42210994356819,-1.67369176311075,-3.67281634511511,3,4,4.5,3,3.5,3.75
"conv_9763bf93-b2b0-43b7-9ffa-761830f4d5a8",0.646797947868469,-1.60636890410235,-2.06124188907681,-2.18365313271749,5,5,5,5,5,5
"conv_a0840d98-89b5-4206-b414-e9820d9a99b2",0.711352426397776,-0.668576837486017,-1.94995848295372,-3.26442554648922,1.5,4,5,4.5,2.75,4.75
"conv_a2292393-fd39-476f-975c-aaf411653197",0.704480925643276,-1.05572021398398,-1.85559340845501,-2.18710624322113,4,4,5,5,4,5
"conv_afc8092c-7335-40d1-a058-616cf97d80a2",0.70445493903459,-1.17391131198714,-2.0125851399113,-2.05694407898085,1.5,4.5,4.5,4,3,4.25
"conv_b0f0e7b9-40d0-4776-a1a7-828df5bdcf2a",0.683138490229891,-1.31989866831347,-2.33235750524734,-2.85563054621651,5,3.5,4,4.5,4.25,4.25
"conv_b1e0225e-fdb5-4142-8852-0785c0d30420",0.729069200277929,-1.05944718124769,-2.4626343447977,-3.00516965753267,5,2.5,3.5,4,3.75,3.75
"conv_b306d0b7-35f0-495e-a3e0-5818c3ae060c",0.689643195127937,-0.911926050454054,-2.14172546747428,-2.58141124746204,1,5,5,5,3,5
"conv_b6569263-0af4-4945-bd32-398a28cf7e69",0.685819598590375,-0.69620836108384,-1.90058406326811,-2.89403150021562,3.5,4.5,4.5,5,4,4.75
"conv_c2e0197b-bba1-43b9-978e-cc6e536892b3",0.6671609800781,-0.909624192704301,-1.56916329491786,-1.97678826213187,4.5,5,4.5,5,4.75,4.75
"conv_c576a2b8-4944-4966-b836-5a4fde76260f",0.709241294074907,-1.34777723041425,-2.09879926970094,-3.00615739221159,4,4,4.5,4.5,4,4.5
"conv_c7f16c31-e264-4ad6-8a72-7c626fa0cac0",0.739551404745239,-0.822492803008913,-1.95968994900316,-3.10932107010655,4.5,4,4,4,4.25,4
"conv_ccb90f8d-d4bb-406e-83e9-b91ac0615cac",0.644254391785433,0.223365199503026,-1.15551171106345,-2.87759826210351,4,4.5,4,4.5,4.25,4.25
"conv_d87daedd-9490-4de9-8d2a-d33777567187",0.741335064682837,-0.560776858158438,-1.73772836313226,-2.5809254908909,1.5,3.5,3.5,4,2.5,3.75
"conv_da1c7ee9-2479-4f47-94bc-db9161a6e88c",0.741079846405212,-1.27905041349504,-2.0988858237828,-2.61225216181376,5,1.5,1,2.5,3.25,1.75
"conv_e335739c-0072-4945-8fe4-457a04c0997b",0.708870462071783,-0.506302888710618,-1.69099340808268,-2.47193072143165,2,3,3,3,2.5,3
"conv_e73d720a-ff86-4c9b-b988-d6cc879215d9",0.677180371621754,-0.976857342018126,-2.16997007706694,-3.21029244451698,4,5,3,5,4.5,4
"conv_f5028a6e-05a3-4757-84d0-491a6f400c24",0.672365607278332,-0.690706481611912,-1.52570367818011,-2.01252083413107,2.5,3,3.5,4.5,2.75,4
"conv_fe95c724-f91e-4a17-8400-9bfbdf9218ec",0.671673508951279,0.169994676403102,-0.962310367476225,-2.70319256033916,3.5,2,1.5,1.5,2.75,1.5
