s_84;s_85;s_86;s_87;s_88;s_91;s_94;s_95;s_96;s_97;s_92;s_93;s_98;b_2;lang;b_3;s_43;s_44_1;s_44_2;s_44_3;s_44_4;s_44_5;s_44_6;s_44_7;s_44_8;s_44_9;s_44_10;s_44_11;s_44_12;s_44_13;email;statoverall_1;statoverall_2;statoverall_3;statoverall_4;statoverall_5
;"";;"";;"";4;4;5;"";8;3;"";2;;24;2;0;0;0;0;1;0;0;0;0;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";6;5;6;"";3;4;"";2;;24;4;0;1;1;0;0;0;0;1;0;0;1;0;1;"";0;0;0;1;0
;"";;"";;"";1;3;1;"I think the model gave some very predictable twists to the story that I found a bit boring.";5;3;"I can't say I fully made the story, and it did introduce some new concepts as well.";1;;22;3;0;0;0;0;1;0;0;0;1;0;1;1;0;"";0;0;0;1;0
;"";;"";;"";4;5;5;"It was like doing group work with someone on google docs, however with the exception that we couldn't discuss our next move, while the other member blatantly deleted some of my points.";4;5;"We disagreed over the course of the story. LLM did bring something valuable, but it was not in the direction I intended to go.";2;;25;3;1;0;0;0;1;0;0;1;1;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";6;5;6;"First time using this tool for creative writing.  I'm surprised at how it takes cues and can elaborate or provide specific details. It's an interesting experience but not for me. When it comes to writing, I want it to be my product from start to finish but then, I don't have deadlines and my income does not depend on rapid production of written works.";4;5;"See previous comment. Felt it developed the story but not necessarily the way I initially envisaged it. I was thinking ""a lady's companion on a European Grand Tour rather than as a crew member on a sailboat.  Interesting choice, but not my mindset.";1;;75;6;0;1;0;0;0;0;0;0;1;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";3;4;7;"It was a good tool for creative writing when you need an idea. But the AI's prompts were quite boring after a few trials and its structure seemed repetitive and predictable.";4;7;"It seemed obvious it was the intention behind the AI to ensure the development of the narrative as it felt too forced to move forward. Technically speaking, regarding creative writing, it is not very good.";1;;23;5;1;1;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";3;5;7;"";4;3;"I created the original idea the rest of the story was based on, so I feel ownership to the idea that could be applied to many different storylines. It rarely contributed, it just repeated what had already been established in a new way.";1;;23;3;0;0;0;0;1;0;0;1;0;1;0;1;0;"";0;0;0;1;0
;"";;"";;"";5;6;6;"It came up with words and scenes I hadn't thought of, which was fun. However, it tended to make things more dramatic, when I tried to make them more reflective. It changed the mood of the text. Furthermore, it got confused about who was who and changed the perspective a few times. It confused the people and suddenly one person shifted to being a different one. In the same way it jumped some natural actions in the story. Suddenly Uncle Thomas had used the fire extinguisher to put out the fire, even though it was in the kitchen, where he had never been. Also, it ended with a mention of Emmas tears for the first time, even though Emma had also cried earlier ? both thing that the AI came up with. Also, the story started as being a memory that someone looked back at. It would make sense to end the story in that present, but the AI seemed to have accepted the original past as the new present, disregarding the premise from the beginning of the story.";6;4;"I feel like it's still my story, and that the AI was mainly a way to idea generate ? especially if it was in a setting, where I could edit the AI's inputs afterwards.";1;;28;3;1;0;1;0;1;1;0;1;1;0;1;1;0;"";0;0;0;1;0
;"";;"";;"";1;1;1;"Jeg kan ikke se spørgsmålene";1;1;"Jeg kan stadig ikke se spørgsmålene";1;;28;2;0;0;0;0;1;0;0;1;0;0;1;1;0;"";0;0;0;1;0
;"";;"";;"";4;3;4;"";7;3;"";2;;38;2;1;0;0;0;0;1;0;0;0;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";6;6;8;"Det er meget godt til at få ideerne i gang! Det bliver problematisk, når jeg pludselig selv synes jeg har en fast ide om, hvor vi skal hen, og den vil andre steder hen. Men det kan den jo ikke vide.";6;6;"Jeg forsøgte bevidst at lade den blande sig i historien ved at standse lige inden en handling. Ifht. ejerskab ville jeg sandsynligvis ende med at omskrive en del og kun bruge dette til at kickstarte ideprocessen";1;;31;5;0;1;0;1;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";5;6;7;"";6;4;"";1;;24;2;1;1;1;1;1;1;1;1;0;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";5;5;5;"I use collaborate with AI for writing, so probably i'm not the best person for answer thi questions";5;5;"";2;;55;2;1;1;1;1;1;1;1;1;1;1;1;1;0;"";0;0;0;1;0
;"";;"";;"";8;6;8;"";6;8;"";1;;24;4;1;0;0;0;1;1;0;1;0;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";5;6;7;"Underholdende og motiverende, ja. Blev produktet bedre? Det blev til noget - jeg havde ikke skrevet uden AI's hjælp. men kunne jeg skrive uden AI-hjælp, så vil jeg mene kvaliteten ville have været bedre.";6;5;"";2;;29;2;1;1;0;1;1;1;0;1;0;0;1;1;0;"";0;0;0;1;0
;"";;"";;"";4;3;6;"Flere gange redigere den slutningen af min passage, hvilket jeg ikke selv kan gøre for dens tekst. Det skaber en ubalancen mellem reglerne for ""legen"" mellem AI'en og jeg, som jeg finder unfair og frustrerende.";5;3;"AI'en fandt kun på to enkelte nye enheder i historien, som var et kryds på et kort og kortet selv. Ellers gav den blot navne og beskrev allerede eksisterende materialer i historien.";2;;26;2;0;1;0;0;0;0;0;0;0;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";7;7;3;"Det virkede som om at modellen gjorde min historie bedre fordi den hjalp mig med at give fylde på historien og den brugte flere følelsesladede ord end jeg gjorde. Den gjorde dog også historien mere basic da den ikke indførte nogle uforudsigelige elementer.";6;5;"Jeg forstod ikke spørgsmålet om hvorvidt LLMen bidrog til den narrative udvikling og har derfor svaret 4";2;;19;6;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;1;0
;"";;"";;"";3;4;8;"";3;3;"";1;;26;2;0;1;0;0;1;0;0;1;0;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";7;7;7;"Jeg anvender normalt AI til at oversætte engelsk, fordi jeg synes, at mange ord på engelsk ligger langt væk. Derfor var det lidt svært at skulle skrive en historie med en AI. Til gengæld skrev den mange af de ord og vendinger, jeg også selv havde valgt, hvis ikke jeg var begrænset af mine egne engelskkundskaber.";5;3;"";1;;24;5;0;1;0;1;0;0;0;0;1;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";7;6;8;"Det mindede mig om en gammel leg, hvor man skulle giftes til at skrive noget af en historie, men hvor man dog der ikke kunne se det forrige en havde skrevet, men kun de sidste fem år. Det var meget sjovt at få udviklet sine ideer, og meget tilfredsstillende at se, hvordan ens historie fortsatte som man ville have det, næsten.";6;5;"Der var jo lidt bidrag, men føler mere at det var et godt samarbejde, hvor man hjalp hinanden";1;;18;2;1;1;0;0;1;1;0;1;1;0;0;0;1;"";0;0;0;1;0
;"";;"";;"";5;4;6;"";4;3;"";2;;19;2;1;1;1;1;1;0;0;1;0;1;0;0;0;"";0;0;0;1;0
;"";;"";;"";6;7;6;"";6;7;"";2;;18;2;1;1;1;1;0;1;0;1;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";4;4;7;"";5;7;"";2;;18;3;1;0;1;1;1;0;1;0;1;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";5;4;4;"Det var hjælpsomt at blive sat i gang af modellen, men det var som om den begyndte at modarbejde historien mere og mere.";6;3;"";1;;20;4;0;0;1;0;1;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";7;6;7;"";5;6;"";1;;19;3;1;1;1;0;1;0;0;0;0;0;0;1;0;"";0;0;0;1;0
;"";;"";;"";5;4;7;"I had a lot more story in my head but the model predicted the story progressing faster than imagined. Sometimes this was annoying but I found it quite fun to work around/with it to steer the story into my vision.";6;6;"The model uses a lot of more 'narrative' words than I would ever use. I do not find myself a good writer story wise so in this regard it does contribute a lot with conveying feeling to the reader. I did have the feeling that I could steer the story in the direction I wanted when necessary.";2;;20;2;0;1;1;0;1;0;0;1;1;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";7;6;8;"Rigtig fed skriveoplevelse, der var et dejligt flow i teksten med nogen gode overgange mellem mine tekststykker og dens";4;5;"";3;;18;6;0;0;0;0;1;0;0;0;0;0;0;0;1;"";0;0;0;1;0
;"";;"";;"";3;4;7;"";4;3;"";1;;18;5;0;0;0;0;1;0;0;1;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";6;4;5;"It uses way too many adjectives when only writing such small passages, which means the story almost never progresses when it is writing, as it is just describing stuff.";1;4;"";2;;19;2;1;1;1;0;0;1;0;1;0;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";4;5;6;"";3;4;"";1;;23;2;0;1;0;0;1;0;0;1;1;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";7;8;8;"";5;7;"Det føltes ikke helt som min historie, i forhold til hvis det kun var mig der skrev den, men i forhold til hvis det var et andet menneske jeg havde arbejdet sammen med føler jeg mere ejerskab over det med AI'en";1;;18;3;1;0;0;0;1;0;0;1;0;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";3;3;5;"Det var underholdende, fordi jeg ikke fattede hvad den ville, så hvad andet kunne jeg gøre end at grine? Hvis hun løber ned af trapperne, så er lyset ikke bag hende, det er over hende. Vidste heller ikke hvad ""Who forgot how to see the dark"" skulle betyde. Den slags var frustrerende.";1;3;"Det føltes som om den havde en ide for historien, som jeg skulle gætte mig frem til.";3;;20;6;0;0;0;0;1;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";3;5;8;"";3;5;"";1;;18;2;1;0;0;0;1;0;0;1;0;0;1;1;0;"";0;0;0;1;0
;"";;"";;"";6;6;4;"it was frustrating that I was forced to continue on an exact spot, but the LLM was able to reduce parts of my writing to continue in a slighly different direction. It would be more ""fun"" if the challenge was equally balanced and none of us could alter the opponents words. It did not feel completely fair.";7;7;"Since I started the story I feel that the main narrative was mine.";2;;50;2;1;1;1;1;0;1;1;1;1;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";4;6;6;"Den forbedrede sproget og rettede sætningerne, så de gav mere mening, men kom også til at slette nogle pointer en gang imellem.";4;6;"AI kunne godt komme til at overtage lidt og ignorere detaljer.";1;;17;3;1;1;0;0;1;0;0;0;1;1;0;0;0;"";0;0;0;1;0
;"";;"";;"";5;8;8;"";5;5;"";1;;18;2;1;1;0;1;0;0;0;1;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";7;6;7;"";7;6;"";2;;17;2;0;1;0;0;1;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";5;7;7;"";4;6;"";1;;18;5;1;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;1;0
;"";;"";;"";6;6;5;"";4;8;"";1;;17;5;1;1;0;0;1;0;0;0;1;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";4;4;6;"Den var ikke særlig omstillingsparat og virkede til meget gerne at ville fortsætte det originale præmis frem for at ændre historien";3;3;"Jeg tror man føler et mindre ejerskab over historien end hvis man havde skevet det helt selv da den lidt ""streamlined"" historien og gjorde den ret upersonlig. På samme tid kom den heller ikke med nye premisser til historien og virkede lidt som et velformuleret spejl";1;;18;5;1;1;1;0;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";3;4;1;"På visse tidspunkter føltes det begrænsende, at modellen ændrede din tekst. Det gav en følelse af ligegyldighed, hvor jeg ikke endte med at yde mit kreative bedste, fordi jeg vidste, at det ville blive erstattet af noget andet alligevel.  Derudover var LLMens idéer... på nogle punkter ret kliché, til et punkt, hvor det gjorde historien mindre interessant end den kunne være. Man kan godt mærke, hvilken slags historier, den er trænet på";3;7;"Som nævnt tidligere var det svært at føle ejerskab over en historie, hvor det lille spor af egne idéer var slettet og overstreget.  Men grundidéen (som egentlig føltes som lidt et sammenspil mellem LLMen og jeg) var egentlig spændende. Da jeg selv interesserer mig for at skrive, kunne jeg sagtens overveje at skrive en ""rigtig"" version af denne historie (eller, historien før en vis af LLMens idéer skubbede den helt ud af kurs)";2;;18;6;0;0;0;0;1;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";6;7;8;"";6;7;"";1;;23;2;1;0;1;0;1;0;1;1;0;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";7;5;7;"Det var sjovt :))";7;3;"Den begyndte lige selv at bestemme til sidst";1;;23;2;1;0;0;0;1;0;0;1;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";3;4;4;"Jeg oplevede, at den havde et narrativ baseret på psykologiske selvhjælpsbøger, som var super interesserede, og at den manglende nysgerrighed på at udforske det paradoksale forhold, at afstand kan være et redskab til at skabe nærhed og forbindelse.";4;3;"Enkelte gange oplevede jeg, at den kunne lægge nye lag til en historie, som stadig var min. Men i de fleste af udvekslinger oplevede jeg, at den tog historien i en anden retning - derfor begyndte jeg at meta-reflektere over den og diskutere med den i selve historien frem for blot at bruge den som buddy.";1;;55;6;0;0;0;0;1;0;0;0;1;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";7;7;8;"Doing parts of a story with AI is very engaging and gets me hooked on completing the story and seeing where it goes. I was almost sad when it had to end.";4;8;"It felt more like a ""Choose your own adventure"" type story, than one that is 100% my own. None the less I was very captured by the narrative.  You can certainly feel that the LLM is better at giving concrete examples of story beats and knows how to keep the story moving.";2;;22;3;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;1;0
;"";;"";;"";7;6;6;"";6;7;"";2;;21;3;1;1;0;1;1;0;0;1;1;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";5;3;6;"";3;1;"";1;;17;3;0;0;1;0;0;0;0;1;0;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";1;1;1;"I hated how it changed my story as an example it changed the murdere of my story from 'the muffinman' to 'the person i trusted the most' which i found quite frusturating.";3;3;"";1;;17;5;0;0;0;0;1;0;0;0;1;0;0;0;1;"";0;0;0;1;0
;"";;"";;"";;;;"";;;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;1;0;0;0
;"";;"";;"";;;;"";;;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;1;0;0;0
;"";;"";;"";;;;"";;;"";1;;38;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;1;0;0
;"";;"";;"";;;;"";;;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;1;0;0;0
;"";;"";;"";;;;"";;;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;1;0;0;0
;"";;"";;"";;;;"";;;"";1;;60;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;1;0;0
;"";;"";;"";;;;"";;;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;1;0;0;0
;"";;"";;"";;;;"";;;"";2;;12;5;0;0;0;1;0;0;0;0;1;0;0;0;0;"";0;0;1;0;0
;"";;"";;"";;;;"";;;"";2;;22;5;0;0;1;0;0;0;0;0;0;0;0;0;0;"";0;0;1;0;0
;"";;"";;"";;;;"";;;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;1;0;0;0
;"";;"";;"";;;;"";;;"";2;;23;2;0;0;0;0;0;1;0;1;0;0;0;0;0;"";0;0;1;0;0
;"";;"";;"";;;;"";;;"";1;;22;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;1;0;0
;"";;"";;"";;;;"";;;"";1;;75;6;0;1;0;0;0;0;0;0;1;0;0;0;0;"";0;0;1;0;0
;"";;"";;"";;;;"";;;"";1;;26;5;0;0;0;0;1;0;0;1;0;0;0;0;1;"";0;0;1;0;0
;"";;"";;"";;;;"";;;"";1;;25;4;0;1;0;0;1;0;0;0;0;0;1;0;0;"";0;0;1;0;0
;"";;"";;"";;;;"";;;"";1;;20;4;0;0;0;0;0;0;0;1;0;0;0;0;0;"";0;0;1;0;0
;"";;"";;"";;;;"";;;"";2;;23;3;0;1;0;0;0;0;0;0;0;0;0;0;0;"";0;0;1;0;0
;"";;"";;"";;;;"";;;"";2;;29;2;1;1;0;0;1;1;1;0;1;0;0;1;0;"";0;0;1;0;0
;"";;"";;"";;;;"";;;"";1;;21;2;0;1;0;0;1;0;0;0;1;0;1;0;0;"";0;0;1;0;0
;"";;"";;"";;;;"";;;"";2;;25;2;1;1;0;0;0;1;0;0;0;0;1;0;0;"";0;0;1;0;0
;"";;"";;"";;;;"";;;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;1;0;0;0
;"";;"";;"";;;;"";;;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;1;0;0;0
;"";;"";;"";;;;"";;;"";1;;20;3;0;1;0;0;0;1;0;1;0;0;1;0;0;"";0;0;1;0;0
;"";;"";;"";;;;"";;;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;1;0;0;0
;"";;"";;"";;;;"";;;"";1;;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;1;0;0
;"";;"";;"";;;;"";;;"";3;;20;2;1;0;1;0;1;0;0;1;1;0;1;1;0;"";0;0;1;0;0
;"";;"";;"";;;;"";;;"";1;;25;2;1;1;0;0;0;1;0;1;1;0;1;0;0;"";0;0;1;0;0
;"";;"";;"";;;;"";;;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;1;0;0;0
;"";;"";;"";;;;"";;;"";1;;20;5;0;0;0;0;0;0;0;0;1;0;0;0;0;"";0;0;1;0;0
;"";;"";;"";8;6;6;"";6;5;"";1;;18;3;0;1;0;1;0;1;0;0;1;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";4;6;7;"";6;7;"";1;;21;4;0;0;0;0;0;0;0;0;1;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";3;4;6;"";6;3;"";2;;24;3;1;1;0;0;0;0;0;1;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";3;4;7;"";6;7;"";2;;23;5;1;0;0;0;1;0;0;1;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";6;7;8;"Pisse Fedt!  Den forsøgte dog i starten at skubbe historien i en lidt anden retning, men så indså den at min ide var bedre.";6;6;"";2;;20;6;1;1;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";4;3;7;"Sjovt koncept, men en my frustrerende at den ændrer ens sætningskonstruktion, når man ikke selve har mulighed for at ændre i, hvad den skriver af forslag.";3;6;"";1;;27;3;0;1;0;0;1;0;0;0;1;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";7;6;8;"Found it to be observant and able to pick up on characters introduced earlier. I did find it to be a bit bland, never changing the direction of the story or introducing a plottwist or non standard writing sentence (meaning someting like a parenthetical clause that brakes or contradicts the writing style). The parts that give texts ingenuity and seperates writers.";7;5;"Because of what i wrote in my previus answer, i feel i was the driving force behind the narrative, and could bend it however i wanted. Maybe i wrote in a way that didnt give the llm good opportunities of deciding plot direction.";2;;24;2;1;1;0;0;1;0;0;1;0;1;1;1;0;"";0;0;0;1;0
;"";;"";;"";6;5;8;"jeg syntes det var lidt træls da den ændrede min ide.";5;7;"jeg ville slet ikke kunne skrive sådan noget selv, den ændrede historien meget fra hvad jeg havde tænkt den skulle handle om. derfor føler jeg den havde lidt mere ret til historien";1;;18;4;0;1;0;0;1;0;0;1;1;0;0;1;0;"";0;0;0;1;0
;"";;"";;"";3;5;7;"Jeg synes den var god til at starte ideen, men hold meget fat i sit eget narrativ. Jeg kunne ikke skubbe historien i en anden retning, så det endte med at være meget statisk";5;7;"Jeg oplevede, at den blev ved med at skubbe sit eget narrativ, og ikke greb mine påfund til at dreje genren eller stemningen i historien.";2;;28;2;1;1;1;1;1;0;0;1;1;0;1;0;0;"";0;0;0;1;0
;"";;"";;"";6;5;7;"Det var veldig underholdene. Jeg forsøgte at få den til at tale om katte, men der var den opsat på at holde sig til handlingen. Fair nok. Hvis du vil kende slutningen er Tormund en skizofren ulv med børn.";7;3;"Hvis jeg følte den havde bidraget meget ville jeg sandsynligvis ikke føle ejerskab over historien.";2;;21;6;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;0;1;0
;"";;"";;"";8;6;8;"";7;8;"";2;;24;3;1;0;0;0;1;1;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";6;7;8;"Jeg synes det var en fed oplevelse. Jeg fik skrevet en meget mere i dybtgående historie på denne måde, grundet at inputtet fra modellen gav mig ideer jeg ellers ikke havde haft. Der var dog 2 gange hvor jeg ærgrede mig over retningen som den endte med at tage, og 1 gang hvor jeg næsten blev sur over ændringerne den fortog til slutningen på min sætning.";5;8;"";1;;19;5;1;0;0;0;1;0;0;1;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";4;4;3;"I felt the model did not really expand on the story, but always pushed it back to the start - which means the story ended up feeling very circular and repetitive";3;1;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";6;4;5;"AI didn't come up with anything. It just added filler words but no real substance.";5;3;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";7;4;7;"Den havde flere gange stavefejl og fejlformuleringer, men jeg valgte også at skrive historien på dansk.   Jeg kunne godt lide den ofte stoppede midt i en sætning eller et ord, så jeg selv kunne digte videre på det.";7;6;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";6;7;8;"Det virkede som om at den umiddelbart forsøgte at skubbe historien imod den ellers ""umoralske"" mening (morale) af historien, som skulle være at gambling var godt.";6;5;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";7;5;5;"";7;4;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";3;4;3;"";;;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;1;0;0
;"";;"";;"";7;6;7;"";6;6;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";7;6;7;"It was fun  '";6;5;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";3;5;4;"I think being challenged might be good on some aspects of story writing. For spontaneous writing with no plan I think it work very well, but when i had an idea for where i wanted the story to go and a longer plot it became very limiting and felt like a fight. It might be very useful if you could have a ""meta"" chat where you could explain to the other writer what your idea is behind the writing like a coauthorship in real life might look like. So it seems like a tool that you have to use intentionally based on where in the writing process you are and what you want.";3;6;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";6;3;4;"It felt like cooperating with someone with else who didn't have a strong plan for a plot or knowledge of building characters or narrative";4;3;"See previous comment";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";1;1;6;"";3;4;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";4;4;5;"He provided general comments not very specific stuff which made the story less exciting at times.";7;4;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";6;5;6;"Jeg valgte nok for silly en historie.";4;6;"";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";8;6;8;"The AI went very much in depth to the narrative that I started. It also kept a constant positive tone even if my tone was a bit dark and moody. To embroid and delve deeper in to each segment, it would be very helpful. The challange for me as an author was more to write a compelling story in such a short format. Since I have the need to make it matter.";7;5;"It felt like the it was analysing what I had meant to write next. It for example introduced my father in the story and I had intented for it to be about my father. It also guessed emotional development that I might have not embroided as much but was definitely a part of the story. It felt like I was leading the way. I was waiting for the AI to take charge and change the narrative, but it felt like it was following my lead. However maybe more positive than I would have written it. That has much to do with the length of the story though, since in a longer narrative I would have aimed for a longer character development and eventually happy ending.";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
;"";;"";;"";3;3;6;"It had a surprisingly small amount of priming from my own writing.";3;6;"That is not my story. It really didn't write what I was hoping it would and it therefore isn't really my story.";;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;0;1;0
